profileLocatorId,profile_url,services,qualifications,personal,image_filename
3557539,https://www.greataupair.com/housekeeper/Philippines-Echague/housekeeper3557539.htm,Au Pair; Nanny; Babysitter; Pet Sitter; Housekeeper; Tutor; Personal Assistant,<1 Years of paid experience; 13-16 years of education; First-aid trained; No driver's license; References available,24-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Malaysia,image/3557539.jpg
3653007,https://www.greataupair.com/housekeeper/Philippines-Asan+Sur/housekeeper3653007.htm,Au Pair; Babysitter; Housekeeper; Tutor,10+ Years of paid experience; 17-19 years of education; Infant care qualified; First-aid trained; No driver's license; References available,23-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3653007.jpg
3642535,https://www.greataupair.com/housekeeper/Philippines-Minglanilla/housekeeper3642535.htm,Au Pair; Housekeeper,6 Years of paid experience; 13-16 years of education; First-aid trained; Swimmer; No driver's license; References available,34-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3642535.jpg
3342978,https://www.greataupair.com/housekeeper/Philippines-Tanauan/housekeeper3342978.htm,Babysitter; Housekeeper,10+ Years of paid experience; 17-19 years of education; Swimmer; No driver's license; References available,42-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Qatar; Part of a working couple,image/3342978.jpg
3640880,https://www.greataupair.com/housekeeper/Philippines-Kalibo+Town/housekeeper3640880.htm,,5 Years of paid experience; 12 years of education; First-aid trained; Swimmer; No driver's license; References available,30-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Saudi Arabia,image/3640880.jpg
3372799,https://www.greataupair.com/housekeeper/Philippines-Sablayan/housekeeper3372799.htm,Nanny; Babysitter; Pet Sitter; Housekeeper; Senior Caregiver,6 Years of paid experience; 12 years of education; First-aid trained; Swimmer; No driver's license,34-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3372799.jpg
3320039,https://www.greataupair.com/housekeeper/Philippines-Mariveles/housekeeper3320039.htm,Nanny; Babysitter; Housekeeper; Personal Assistant,2 Years of paid experience; 11 or less years of education; Infant care qualified; Swimmer; No driver's license; References available,29-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3320039.jpg
3618265,https://www.greataupair.com/housekeeper/Philippines-Olingan/housekeeper3618265.htm,Nanny; Housekeeper; Senior Caregiver,6 Years of paid experience; 17-19 years of education; No driver's license; References available,34-year old female; Filipino; Living in Philippines; Has a passport for Saudi Arabia; Has a visa for Saudi Arabia,image/3618265.jpg
3309584,https://www.greataupair.com/housekeeper/Philippines-Magalang/housekeeper3309584.htm,Nanny; Housekeeper; Personal Assistant,3 Years of paid experience; 12 years of education; Infant care qualified; First-aid trained; Swimmer; No driver's license; References available,30-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa; Part of a working couple; Married,image/3309584.jpg
3640751,https://www.greataupair.com/housekeeper/Philippines-Rosario/housekeeper3640751.htm,Nanny; Babysitter; Pet Sitter; Housekeeper; Personal Assistant,7 Years of paid experience; 11 or less years of education; First-aid trained; No driver's license; References available,35-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Bahrain,image/3640751.jpg
3609628,https://www.greataupair.com/housekeeper/Philippines-Subic/housekeeper3609628.htm,Au Pair; Nanny; Babysitter; Pet Sitter; Housekeeper; Senior Caregiver,6 Years of paid experience; 11 or less years of education; Infant care qualified; Swimmer; No driver's license,37-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Philippines,image/3609628.jpg
3654779,https://www.greataupair.com/housekeeper/Philippines-Indang/housekeeper3654779.htm,Nanny; Babysitter; Housekeeper,4 Years of paid experience; 12 years of education; Infant care qualified; First-aid trained; No driver's license; References available,"31-year old female; Filipino; Living in Philippines; Has passports for Hungary, Philippines and United Arab Emirates; Has a visa for United Arab Emirates",image/3654779.jpg
2991578,https://www.greataupair.com/housekeeper/Philippines-Signal+Village/housekeeper2991578.htm,Housekeeper; Personal Assistant,10+ Years of paid experience; 17-19 years of education; Swimmer; No driver's license,50-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/2991578.jpg
3654730,https://www.greataupair.com/housekeeper/Philippines-Santo+Tomas/housekeeper3654730.htm,Babysitter; Housekeeper; Tutor; Personal Assistant,4 Years of paid experience; 13-16 years of education; Swimmer; No driver's license; References available,31-year old female; Filipino; Living in Philippines; Has no passport; Has no visa,image/3654730.jpg
3620117,https://www.greataupair.com/housekeeper/Philippines-Zamboanga+City/housekeeper3620117.htm,Au Pair; Housekeeper,5 Years of paid experience; 12 years of education; Infant care qualified; First-aid trained; No driver's license; References available,48-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa; Married,image/3620117.jpg
3535019,https://www.greataupair.com/housekeeper/Philippines-San+Andres/housekeeper3535019.htm,Nanny; Housekeeper,2 Years of paid experience; 13-16 years of education; No driver's license; References available,29-year old female; Filipino; Living in Philippines; Has passports for Kuwait and Philippines; Has no visa,image/3535019.jpg
2733264,https://www.greataupair.com/housekeeper/Philippines-Villasis/housekeeper2733264.htm,Au Pair; Nanny; Babysitter; Pet Sitter; Housekeeper; Tutor; Senior Caregiver; Personal Assistant,4 Years of paid experience; 13-16 years of education; Infant care qualified; Valid driver's license; References available,"41-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has visas for Malaysia, Singapore and United Kingdom",image/2733264.jpg
3648986,https://www.greataupair.com/housekeeper/Philippines-Bancasi/housekeeper3648986.htm,Nanny; Babysitter; Housekeeper,10+ Years of paid experience; 13-16 years of education; Swimmer; No driver's license,46-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Kuwait,image/3648986.jpg
3654701,https://www.greataupair.com/housekeeper/Philippines-San+Mariano/housekeeper3654701.htm,Nanny; Babysitter; Housekeeper,8 Years of paid experience; 12 years of education; Swimmer; No driver's license; References available,32-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Hong Kong; Married,image/3654701.jpg
3631386,https://www.greataupair.com/housekeeper/Philippines-Buug/housekeeper3631386.htm,Au Pair; Nanny; Babysitter; Housekeeper; Personal Assistant,10+ Years of paid experience; 12 years of education; First-aid trained; No driver's license; References available,18-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3631386.jpg
3654675,https://www.greataupair.com/housekeeper/Philippines-Janiuay/housekeeper3654675.htm,Au Pair; Nanny; Babysitter; Housekeeper; Personal Assistant,10+ Years of paid experience; 13-16 years of education; Infant care qualified; First-aid trained; No driver's license; References available,28-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Malaysia; Part of a working couple,image/3654675.jpg
3650201,https://www.greataupair.com/housekeeper/Philippines-Banisilan/housekeeper3650201.htm,Nanny; Babysitter; Housekeeper,3 Years of paid experience; 13-16 years of education; Infant care qualified; No driver's license,28-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3650201.jpg
3092822,https://www.greataupair.com/housekeeper/Philippines-Bongabon/housekeeper3092822.htm,Au Pair; Nanny; Housekeeper; Senior Caregiver; Personal Assistant,2 Years of paid experience; 13-16 years of education; Infant care qualified; First-aid trained; Swimmer; No driver's license,48-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa; Married,image/3092822.jpg
3645145,https://www.greataupair.com/housekeeper/Philippines-Tayabas/housekeeper3645145.htm,Au Pair; Nanny; Babysitter; Housekeeper; Tutor; Personal Assistant,9 Years of paid experience; 13-16 years of education; No driver's license,32-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3645145.jpg
3390914,https://www.greataupair.com/housekeeper/Philippines-Mandaue+City/housekeeper3390914.htm,,1 Years of paid experience; 13-16 years of education; No driver's license,35-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3390914.jpg
3642689,https://www.greataupair.com/housekeeper/Philippines-Maigo/housekeeper3642689.htm,Nanny; Housekeeper,8 Years of paid experience; 13-16 years of education; First-aid trained; No driver's license; Will use own car for work; References available,32-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3642689.jpg
